NCESSchoolID,inputAddress,matchIndicator,matchType,outputAddress,lonLat,tigerLineId,unkDontCare
"470014701187","3467 Castleman ST, Memphis, TN, 38118","Match","Exact","3467 Castleman St, MEMPHIS, TN, 38118","-89.89084,35.053852","72928187","R"
"550960002603","850 W Walnut St, Milwaukee, WI, 53205","Match","Exact","850 W Walnut St, MILWAUKEE, WI, 53205","-87.92162,43.052586","77765852","R"
"220020202041","3127 Martin L. King Blvd., New Orleans, LA, 70125","Match","Exact","3127 Martin Luther King Jr Blvd, NEW ORLEANS, LA, 70125","-90.089645,29.947174","191712150","R"
"550960002608","2525 N Sherman Blvd, Milwaukee, WI, 53210","Match","Exact","2525 N Sherman Blvd, MILWAUKEE, WI, 53210","-87.96754,43.064754","77732378","L"
"170993000706","5415 S Union Ave, Chicago, IL, 60609","Match","Exact","5415 S Union Ave, CHICAGO, IL, 60609","-87.642746,41.795647","111829910","L"
"40621001573","10730 W CAMPBELL AVE, Phoenix, AZ, 85037","Match","Exact","10730 W Campbell Ave, PHOENIX, AZ, 85037","-112.29392,33.50074","128282880","L"
"420013100847","926 W. Sedgley Avenue, Philadelphia, PA, 19132","Match","Non_Exact","926 W Sedgley Ave, PHILADELPHIA, PA, 19140","-75.144554,40.001957","131418674","L"
"170993000710","8306 S St Lawrence, Chicago, IL, 60619","Match","Non_Exact","8306 S St Lawrence Ave, CHICAGO, IL, 60619","-87.609886,41.74371","111772943","R"
"240009000339","7300 Moyer Ave, Baltimore, MD, 21234","Match","Exact","7300 Moyer Ave, BALTIMORE, MD, 21234","-76.53919,39.367424","206411839","L"
"240009000337","4001 Alto Rd, Baltimore, MD, 21216","Match","Exact","4001 Alto Rd, BALTIMORE, MD, 21216","-76.682915,39.316948","206413077","L"
"240009000336","2001 N. Warwick Ave, Baltimore, MD, 21216","Match","Exact","2001 N Warwick Ave, BALTIMORE, MD, 21216","-76.6572,39.310127","206440753","R"
"181272002020","1000 E 91st St, Indianapolis, IN, 46240","Match","Exact","1000 E 91st St, INDIANAPOLIS, IN, 46240","-86.141594,39.919796","107982864","L"
"240009000335","701 Gold Street, Baltimore, MD, 21217","Match","Exact","701 Gold St, BALTIMORE, MD, 21217","-76.640366,39.306797","206416346","L"
"181272002010","4900 E 79th St, Indianapolis, IN, 46240","Match","Non_Exact","4900 E 79th St, INDIANAPOLIS, IN, 46250","-86.08332,39.89776","108017351","L"
"240009000334","200 N Lakewood Ave, Baltimore, MD, 21224","Match","Exact","200 N Lakewood Ave, BALTIMORE, MD, 21224","-76.57921,39.294533","206425046","L"
"240009001657","1600 Guilford Avenue, Baltimore, MD, 21202","Match","Exact","1600 Guilford Ave, BALTIMORE, MD, 21202","-76.61223,39.307915","206419147","L"
"60151213958","1401 El Camino Ave., Sacramento, CA, 95815","Match","Exact","1401 el Camino Ave, SACRAMENTO, CA, 95815","-121.43475,38.61085","133330384","L"
"181272002013","4401 E 62nd St, Indianapolis, IN, 46220","Match","Exact","4401 E 62nd St, INDIANAPOLIS, IN, 46220","-86.09195,39.868607","108052352","R"
"240009000331","2401 Nevada St, Baltimore, MD, 21230","Match","Exact","2401 Nevada St, BALTIMORE, MD, 21230","-76.638626,39.26161","206422241","L"
"421899007229","401 W Lehigh Ave, Philadelphia, PA, 19133","Match","Exact","401 W Lehigh Ave, PHILADELPHIA, PA, 19133","-75.1384,39.99187","131419248","R"
"240009000330","4600 Falls Rd, Baltimore, MD, 21209","Match","Exact","4600 Falls Rd, BALTIMORE, MD, 21209","-76.640816,39.345016","206465151","L"
"421899007223","4725 Fairmont Ave, Philadelphia, PA, 19139","Match","Non_Exact","4725 Fairmount Ave, PHILADELPHIA, PA, 19139","-75.21549,39.964176","131398948","R"
"181272002016","8201 N Ditch Rd, Indianapolis, IN, 46260","Match","Exact","8201 Ditch Rd, INDIANAPOLIS, IN, 46260","-86.18391,39.90556","107981517","R"
"421899007224","6000 Ridge Ave, Philadelphia, PA, 19128","Match","Exact","6000 Ridge Ave, PHILADELPHIA, PA, 19128","-75.21314,40.031616","131396445","L"
"421899007225","1101 N 4th St, Philadelphia, PA, 19123","Match","Exact","1101 N 4th St, PHILADELPHIA, PA, 19123","-75.14349,39.96801","131422827","R"
"170993000712","10309 S Morgan St, Chicago, IL, 60643","Match","Exact","10309 S Morgan St, CHICAGO, IL, 60643","-87.64767,41.706524","605582050","L"
"181272002018","1901 E 86th St, Indianapolis, IN, 46240","Match","Exact","1901 E 86th St, INDIANAPOLIS, IN, 46240","-86.12857,39.912502","107983327","R"
"181272002019","3660 E 62nd St, Indianapolis, IN, 46220","Match","Exact","3660 E 62nd St, INDIANAPOLIS, IN, 46220","-86.10609,39.868706","107995323","L"
"170993000714","211 S Laflin St, Chicago, IL, 60607","Match","Exact","211 S Laflin St, CHICAGO, IL, 60607","-87.66433,41.878788","605106453","L"
"61284009364","6701 S. Jack Tone Rd., Stockton, CA, 95215","Tie"
"170993000718","5009 S Laflin St, Chicago, IL, 60609","Match","Exact","5009 S Laflin St, CHICAGO, IL, 60609","-87.66237,41.802963","605448215","L"
"180019202640","1250 E Market Street, Indianapolis, IN, 46202","Match","Exact","1250 E Market St, INDIANAPOLIS, IN, 46202","-86.13722,39.76809","108052118","L"
"220117000880","3019 Canal Street, New Orleans, LA, 70119","Match","Exact","3019 Canal St, NEW ORLEANS, LA, 70119","-90.09058,29.967884","191707805","R"
"240009000309","507 W Preston St, Baltimore, MD, 21201","Match","Exact","507 W Preston St, BALTIMORE, MD, 21201","-76.62577,39.299488","206465726","L"
"240009000307","2777 Presstman St, Baltimore, MD, 21216","Match","Exact","2777 Presstman St, BALTIMORE, MD, 21216","-76.66352,39.304676","206439389","L"
"240009000306","5207 Roland Ave, Baltimore, MD, 21210","Match","Exact","5207 Roland Ave, BALTIMORE, MD, 21210","-76.634766,39.35691","206445817","R"
"170993004286","3400 N Austin Ave, Chicago, IL, 60634","Match","Exact","3400 N Austin Ave, CHICAGO, IL, 60634","-87.776375,41.942135","605163391","L"
"240009000303","2400 Windsor Ave, Baltimore, MD, 21216","Match","Exact","2400 Windsor Ave, BALTIMORE, MD, 21216","-76.655876,39.312298","206414308","R"
"40082103226","3161 N 33RD AVE, Phoenix, AZ, 85017","Match","Exact","3161 N 33rd Ave, PHOENIX, AZ, 85017","-112.12917,33.484516","128199366","R"
"60003601108","2001 Pebblewood, Sacramento, CA, 95833","Match","Non_Exact","2001 Pebblewood Dr, SACRAMENTO, CA, 95833","-121.5059,38.62132","133319336","L"
"110001900423","5200 2nd St NW, Washington, DC, 20011","Match","Exact","5200 2nd St NW, WASHINGTON, DC, 20011","-77.01353,38.95338","76223785","L"
"180477000797","5801 E 16th St, Indianapolis, IN, 46218","Match","Exact","5801 E 16th St, INDIANAPOLIS, IN, 46218","-86.06899,39.78892","108000166","R"
"62271008158","2821 E. Seventh St., Los Angeles, CA, 90023","Match","Exact","2821 E 7th St, LOS ANGELES, CA, 90023","-118.2109,34.02959","142689283","L"
"62271008157","835 Stanford Ave, Los Angeles, CA, 90021","Match","Exact","835 Stanford Ave, LOS ANGELES, CA, 90021","-118.24716,34.035976","141620352","R"
"61455010209","4625 E. Florence Ave., Fresno, CA, 93725","Match","Exact","4625 E Florence Ave, FRESNO, CA, 93725","-119.74325,36.717796","197643176","R"
"240009000319","30 S Gilmor St, Baltimore, MD, 21223","Match","Exact","30 S Gilmor St, BALTIMORE, MD, 21223","-76.64235,39.287224","206465649","R"
"240009001631","4410 Frankford Avenue, Baltimore, MD, 21206","Match","Exact","4410 Frankford Ave, BALTIMORE, MD, 21206","-76.55091,39.33725","206411590","L"
"240009001632","1300 W 36th Street, Baltimore, MD, 21211","Match","Exact","1300 W 36th St, BALTIMORE, MD, 21211","-76.63653,39.33059","206464618","R"
"240009000313","3880 Sinclair Ln, Baltimore, MD, 21213","Match","Exact","3880 Sinclair Ln, BALTIMORE, MD, 21213","-76.561,39.314587","206425682","L"
"40010901592","3738 N 16TH ST, Phoenix, AZ, 85016","Match","Exact","3738 N 16th St, PHOENIX, AZ, 85016","-112.04766,33.48999","128209723","L"
"60003601114","2775 Millcreek Dr., Sacramento, CA, 95833","Match","Exact","2775 Millcreek Dr, SACRAMENTO, CA, 95833","-121.50274,38.616165","133319506","R"
"130012002453","301 E Lake Blvd SE, Atlanta, GA, 30317","Match","Exact","301 E Lake Blvd SE, ATLANTA, GA, 30317","-84.31449,33.745914","23366714","R"
"170993004266","5515 S Lowe Ave, Chicago, IL, 60621","Match","Exact","5515 S Lowe Ave, CHICAGO, IL, 60621","-87.64148,41.79374","605540996","L"
"220054000446","4503 Winbourne Ave, Baton Rouge, LA, 70805","Match","Exact","4503 Winbourne Ave, BATON ROUGE, LA, 70805","-91.14495,30.478718","92181604","L"
"220054000445","444 Halfway Tree Rd, Baton Rouge, LA, 70810","Match","Exact","444 Halfway Tree Rd, BATON ROUGE, LA, 70810","-91.11718,30.371264","92192532","R"
"220054000447","15755 Jefferson Highway, Baton Rouge, LA, 70817","Match","Exact","15755 Jefferson Hwy, BATON ROUGE, LA, 70817","-91.01331,30.372702","92195172","L"
"220054000442","5650 Claycut Road, Baton Rouge, LA, 70806","Match","Exact","5650 Claycut Rd, BATON ROUGE, LA, 70806","-91.137825,30.441326","92184408","R"
"220054000443","8935 Westminster Dr, Baton Rouge, LA, 70809","Match","Exact","8935 Westminster Dr, BATON ROUGE, LA, 70809","-91.09244,30.409777","92192680","L"
